loan_id,gender,married,dependents,education,self_employed,applicant_income,coapplicant_income,loan_amount,loan_amount_term,credit_history,property_area,loan_status
360,Female,Yes,2,Not Graduate,No,5723,3627,387,240,1,Urban,Y
361,Male,Yes,3+,Graduate,Yes,1513,975,74,240,1,Semiurban,Y
362,Female,Yes,0,Not Graduate,Yes,4967,827,267,180,1,Semiurban,Y
363,Male,Yes,3+,Not Graduate,No,1859,3349,413,360,1,Semiurban,Y
364,Female,No,2,Not Graduate,No,5927,1548,382,240,1,Rural,Y
365,Male,No,3+,Graduate,No,7628,2928,340,240,1,Semiurban,Y
366,Male,No,2,Not Graduate,No,6702,645,391,180,1,Rural,Y
367,Male,No,2,Not Graduate,No,4239,1660,362,180,1,Urban,Y
368,Male,No,2,Graduate,Yes,7806,2327,113,360,1,Urban,Y
369,Female,Yes,1,Not Graduate,No,7574,2863,342,240,1,Semiurban,Y
370,Female,No,2,Not Graduate,Yes,1580,2042,413,240,1,Rural,Y
371,Female,Yes,1,Not Graduate,No,2040,3846,475,180,1,Rural,Y
372,Male,Yes,1,Not Graduate,No,9928,68,312,240,1,Urban,Y
373,Female,No,3+,Graduate,No,4922,2778,451,180,1,Rural,Y
374,Male,No,3+,Not Graduate,Yes,1601,4571,337,120,1,Urban,Y
375,Male,No,2,Graduate,No,7319,1296,164,180,1,Semiurban,Y
376,Female,No,3+,Not Graduate,No,9658,1762,289,180,1,Rural,Y
377,Female,No,0,Not Graduate,Yes,6613,1052,56,180,1,Urban,Y
378,Female,Yes,3+,Not Graduate,Yes,4846,4380,228,120,1,Rural,Y
379,Male,Yes,2,Not Graduate,No,8168,2673,322,180,1,Urban,Y
380,Female,No,3+,Not Graduate,No,4445,2649,336,180,1,Semiurban,Y
381,Female,Yes,3+,Graduate,No,6118,1157,334,180,1,Rural,Y
382,Male,Yes,2,Graduate,No,2284,1602,177,120,1,Rural,Y
383,Female,No,1,Graduate,Yes,4184,715,210,120,1,Rural,Y
384,Male,No,3+,Not Graduate,Yes,5346,2637,408,360,1,Rural,Y
385,Female,No,1,Graduate,No,8156,2744,88,240,1,Urban,Y
386,Female,Yes,3+,Not Graduate,Yes,7651,2077,335,120,1,Semiurban,Y
387,Male,Yes,1,Graduate,Yes,7711,4545,308,180,1,Semiurban,Y
388,Male,No,3+,Graduate,Yes,3351,4584,133,180,1,Urban,Y
389,Female,No,3+,Graduate,Yes,5332,3226,382,360,1,Semiurban,Y
390,Female,Yes,1,Not Graduate,Yes,8016,999,452,240,1,Rural,Y
391,Male,Yes,2,Graduate,No,8064,2471,114,360,1,Semiurban,Y
392,Female,Yes,3+,Not Graduate,No,5297,105,475,240,1,Rural,Y
393,Female,No,0,Graduate,Yes,3282,4473,200,180,1,Rural,Y
394,Female,No,3+,Not Graduate,No,4772,4356,67,360,1,Rural,Y
395,Female,Yes,0,Not Graduate,Yes,4738,2432,220,240,1,Rural,Y
396,Female,No,0,Not Graduate,Yes,3462,267,54,120,1,Urban,Y
397,Female,Yes,0,Not Graduate,Yes,4541,179,182,360,1,Semiurban,Y
398,Male,No,1,Not Graduate,Yes,9344,611,452,180,1,Rural,Y
399,Male,Yes,3+,Not Graduate,Yes,7712,964,247,360,1,Rural,Y
400,Female,No,2,Not Graduate,No,1828,732,64,180,1,Urban,Y
401,Male,No,1,Not Graduate,No,8290,4980,60,120,1,Semiurban,Y
402,Female,No,1,Not Graduate,No,3423,1094,356,180,1,Urban,Y
403,Male,No,2,Not Graduate,No,9196,2808,261,180,1,Rural,Y
404,Male,Yes,3+,Graduate,No,3809,2143,340,120,1,Rural,Y
405,Female,Yes,2,Not Graduate,No,5124,1026,53,240,1,Semiurban,Y
406,Female,Yes,2,Graduate,No,3217,4604,58,180,1,Urban,Y
407,Female,No,1,Graduate,Yes,9970,3314,132,120,1,Semiurban,Y
408,Female,No,0,Not Graduate,No,4083,3905,118,120,1,Rural,Y
409,Female,No,3+,Graduate,No,9943,2273,185,240,1,Urban,Y
410,Male,No,1,Not Graduate,Yes,5462,1446,412,360,1,Rural,Y
411,Female,Yes,3+,Not Graduate,No,9415,2628,399,360,1,Semiurban,Y
412,Female,Yes,1,Graduate,Yes,8610,1886,85,360,1,Rural,Y
413,Female,Yes,2,Not Graduate,No,8034,2383,257,240,1,Urban,Y
414,Male,Yes,3+,Graduate,Yes,1844,4373,96,180,1,Rural,Y
415,Male,Yes,1,Graduate,No,6637,3961,223,120,1,Semiurban,Y
416,Female,Yes,3+,Graduate,Yes,5377,1126,108,180,1,Rural,Y
417,Female,No,0,Graduate,No,5030,4368,181,360,1,Rural,Y
418,Male,No,0,Not Graduate,Yes,8269,2050,248,360,1,Semiurban,Y
419,Female,Yes,3+,Not Graduate,No,8672,701,116,120,1,Semiurban,Y
420,Female,No,3+,Not Graduate,No,9275,2336,202,120,1,Rural,Y
421,Female,Yes,3+,Graduate,Yes,3163,231,233,180,1,Semiurban,Y
422,Male,Yes,3+,Not Graduate,Yes,8166,3773,493,180,1,Urban,Y
423,Male,No,1,Graduate,No,6393,385,213,360,1,Rural,Y
424,Male,Yes,2,Graduate,No,7493,3364,309,120,1,Semiurban,Y
425,Female,No,1,Graduate,No,2764,3929,121,120,1,Rural,Y
426,Male,Yes,0,Graduate,Yes,3049,264,461,360,1,Urban,Y
427,Male,Yes,0,Graduate,Yes,5871,2907,372,360,1,Urban,Y
428,Male,Yes,1,Graduate,Yes,1541,1024,418,360,1,Semiurban,Y
429,Male,Yes,0,Not Graduate,Yes,9096,163,121,360,1,Rural,Y
430,Male,No,1,Not Graduate,Yes,5076,2996,60,180,1,Urban,Y
431,Male,Yes,0,Not Graduate,Yes,5505,1686,159,240,1,Urban,Y
432,Female,Yes,2,Graduate,No,2176,3713,241,360,1,Rural,Y
433,Female,No,3+,Graduate,Yes,9678,1885,429,120,1,Urban,Y
434,Female,No,0,Not Graduate,No,1803,2307,162,240,1,Urban,Y
435,Male,Yes,1,Not Graduate,Yes,4481,259,427,360,1,Urban,Y
436,Male,Yes,3+,Not Graduate,Yes,8456,1378,55,180,1,Urban,Y
437,Female,No,1,Graduate,Yes,7201,164,346,360,1,Urban,Y
438,Female,Yes,3+,Not Graduate,No,1994,4462,486,360,1,Semiurban,Y
439,Female,No,3+,Not Graduate,Yes,3302,2181,477,360,1,Urban,Y
440,Male,Yes,3+,Graduate,No,5089,1023,499,240,1,Urban,Y
441,Female,No,2,Graduate,No,8563,3155,440,240,1,Rural,Y
442,Male,Yes,0,Not Graduate,Yes,8587,694,334,360,1,Rural,Y
443,Female,No,1,Not Graduate,Yes,8834,4837,439,120,1,Semiurban,Y
444,Male,No,0,Graduate,Yes,8652,3331,282,120,1,Semiurban,Y
445,Female,No,2,Graduate,No,7738,3923,124,360,1,Urban,Y
446,Female,Yes,1,Graduate,No,9132,3120,185,240,1,Rural,Y
447,Female,No,2,Graduate,Yes,8945,670,335,120,1,Urban,Y
448,Male,Yes,3+,Not Graduate,Yes,6589,1241,406,240,1,Rural,Y
449,Female,No,1,Not Graduate,Yes,4627,652,388,240,1,Semiurban,Y
450,Male,No,0,Not Graduate,No,2854,4336,97,360,1,Urban,Y
451,Male,Yes,3+,Not Graduate,No,2095,4300,494,360,1,Urban,Y
452,Female,Yes,1,Not Graduate,Yes,5743,4810,369,360,1,Semiurban,Y
453,Male,Yes,3+,Graduate,Yes,4335,427,173,360,1,Rural,Y
454,Female,No,3+,Graduate,Yes,4355,3765,347,180,1,Semiurban,Y
455,Male,No,2,Not Graduate,No,7555,4334,79,240,1,Urban,Y
456,Male,Yes,1,Graduate,No,2109,3722,146,180,1,Rural,Y
457,Female,Yes,2,Not Graduate,No,1938,2803,99,120,1,Urban,Y
458,Male,Yes,1,Not Graduate,Yes,7834,43,238,240,1,Semiurban,Y
459,Male,Yes,2,Not Graduate,No,7848,1798,358,180,1,Rural,Y
460,Male,Yes,0,Not Graduate,Yes,1580,711,75,180,1,Urban,Y
461,Male,Yes,1,Graduate,No,4058,563,86,360,1,Rural,Y
462,Male,No,0,Not Graduate,Yes,6409,674,197,360,1,Rural,Y
463,Male,Yes,1,Not Graduate,No,8150,786,402,180,1,Rural,Y
464,Male,Yes,1,Not Graduate,No,6289,4896,295,240,1,Rural,Y
465,Male,Yes,0,Graduate,Yes,2102,2,141,120,1,Semiurban,Y
466,Male,Yes,2,Not Graduate,No,7022,3340,204,240,1,Urban,Y
467,Female,No,0,Graduate,Yes,4706,1600,106,360,1,Urban,Y
468,Male,Yes,0,Graduate,No,6750,4990,362,120,1,Urban,Y
469,Female,Yes,1,Not Graduate,Yes,4726,764,334,180,1,Semiurban,Y
470,Female,Yes,2,Graduate,Yes,7882,3144,479,240,1,Urban,Y
471,Male,No,3+,Graduate,No,4279,1795,311,180,1,Rural,Y
472,Female,No,2,Not Graduate,No,4122,4990,499,120,1,Urban,Y
473,Female,Yes,0,Not Graduate,No,4629,2010,135,180,1,Rural,Y
474,Female,No,3+,Graduate,Yes,3841,4227,340,180,1,Rural,Y
475,Male,Yes,0,Not Graduate,Yes,6537,1254,435,120,1,Rural,Y
476,Male,Yes,3+,Graduate,No,4977,2502,143,120,1,Semiurban,Y
477,Female,Yes,2,Not Graduate,Yes,1607,3718,287,180,1,Urban,Y
478,Female,No,0,Not Graduate,No,6433,4922,320,120,1,Semiurban,Y
479,Female,Yes,1,Not Graduate,Yes,6613,2050,284,240,1,Rural,Y
480,Female,Yes,3+,Graduate,Yes,6645,981,80,240,1,Urban,Y
481,Male,Yes,3+,Graduate,No,1768,175,443,120,1,Semiurban,Y
482,Female,No,3+,Graduate,Yes,4386,1535,488,360,1,Semiurban,Y
483,Male,No,3+,Not Graduate,Yes,1573,3764,333,240,1,Rural,Y
484,Female,No,3+,Graduate,Yes,8228,3642,441,180,1,Rural,Y
485,Male,Yes,1,Not Graduate,No,6070,4206,399,120,1,Rural,Y
486,Male,Yes,0,Not Graduate,Yes,6764,4350,214,360,1,Urban,Y
487,Male,No,1,Graduate,Yes,2875,2361,216,240,1,Semiurban,Y
488,Male,Yes,2,Not Graduate,No,9530,4165,142,120,1,Rural,Y
489,Female,No,0,Graduate,Yes,6362,3293,163,360,1,Semiurban,Y
490,Female,No,1,Not Graduate,No,4801,493,135,240,1,Rural,Y
491,Female,Yes,0,Graduate,No,3842,3061,265,120,1,Semiurban,Y
492,Female,Yes,2,Not Graduate,Yes,2700,4452,471,360,1,Rural,Y
493,Female,Yes,1,Not Graduate,No,3224,2748,454,180,1,Semiurban,Y
494,Male,Yes,2,Graduate,No,2018,889,319,360,1,Urban,Y
495,Female,Yes,3+,Graduate,No,2131,2880,159,360,1,Urban,Y
496,Male,Yes,0,Not Graduate,No,2801,1548,218,180,1,Urban,Y
497,Female,Yes,0,Graduate,No,2314,4806,484,360,1,Rural,Y
498,Male,Yes,1,Not Graduate,Yes,4736,1137,360,120,1,Rural,Y
499,Female,No,2,Not Graduate,Yes,3184,2609,176,240,1,Semiurban,Y
500,Male,Yes,0,Not Graduate,Yes,8899,131,499,240,1,Semiurban,Y
